seqnames,start,end,width,strand,WT1,WT2,WT3,KO1,KO2
chr11,84879678,84880078,401,*,7.18,10.43,7.95,17.93,27.25
chr5,53589103,53589503,401,*,34.68,33.04,36.22,56.35,86.28
chr17,34646898,34647298,401,*,71.76,47.82,43.29,80.68,155.3
chr17,24724259,24724659,401,*,25.12,14.78,26.51,25.61,77.2
chr4,136239659,136240059,401,*,43.06,13.91,15.9,42.26,70.84
chr15,81585031,81585431,401,*,52.62,27.82,49.48,64.03,128.06
chr11,116412894,116413294,401,*,31.1,20,26.51,28.17,91.73
chr10,88794697,88795097,401,*,38.27,28.69,10.6,6.4,11.81
chr10,74104500,74104900,401,*,45.45,23.48,18.55,16.65,6.36
chr12,112860775,112861175,401,*,29.9,14.78,18.55,39.7,49.95
chr4,155770185,155770585,401,*,33.49,13.04,32.69,43.54,75.38
chr15,80034871,80035271,401,*,19.14,21.74,14.14,26.89,53.58
chr7,127080031,127080431,401,*,22.72,10.43,18.55,28.17,48.13
chr19,52878858,52879258,401,*,43.06,28.69,18.55,64.03,64.48
chr6,71963581,71963981,401,*,23.92,13.91,24.74,37.14,51.77
chr10,128258918,128259318,401,*,25.12,20.87,15.9,35.86,50.86
chr16,4420350,4420750,401,*,61,41.74,42.41,64.03,149.85
chr9,45906700,45907100,401,*,27.51,17.39,24.74,29.45,73.56
chr11,82890419,82890819,401,*,23.92,22.61,28.27,24.33,93.55
chr15,100038457,100038857,401,*,46.64,27.82,34.46,53.79,101.72
chr11,69919612,69920012,401,*,28.7,20.87,26.51,42.26,62.67
chr17,27826148,27826548,401,*,35.88,12.17,21.2,34.58,70.84
chr9,45828476,45828876,401,*,58.6,29.56,30.92,66.59,105.35
chr16,18629764,18630164,401,*,45.45,22.61,30.92,53.79,87.19
chr5,141762735,141763135,401,*,17.94,10.43,9.72,24.33,33.6
chr14,70076647,70077047,401,*,27.51,20.87,22.09,39.7,57.22
chr11,70844537,70844937,401,*,41.86,27.82,30.04,43.54,101.72
chr8,111145506,111145906,401,*,44.25,36.52,32.69,57.63,99.9
